comprimento corpo	largura corpo	comprimento flagelo	largura flagelo	Tipo
4,6	3,2	1,4	0,2	Bactéria 1
5,9	3	4,2	1,5	Bactéria 2
7,7	2,8	6,7	2	Bactéria 3
5,2	3,5	1,5	0,2	Bactéria Um
5	3,3	1,4	0,2	Bactéria 1
4,9	3,1	1,5	0,1	Bacteria 1
5,8	2,7	3,9	1,2	Bactéria 2
6,4	2,7	5,3	1,9	Bactéria 3
4,4	3,2	1,3	0,2	Bactéria 1
5	3,4	1,5	0,2	Bactéria 1
4,7	3,2	1,3	0,2	Bactéria Um
6,2	2,8	4,8	1,8	Bactéria 3
6,9	3,1	5,1	2,3	Bactéria 3
5,5	2,4	3,7	1	Bactria dois
5,6	2,5	3,9	1,1	Bacteria dois
6,3	2,9	5,6	1,8	Bactéria 3
6	2,7	5,1	1,6	Bactéria 2
5,7	2,8	4,5	1,3	Bacteria 2
6,5	3	5,2	2	Bactéria 3
5	3,4	1,6	0,4	Bactéria Um
5,1	3,7	1,5	0,4	Bacteria 1
5,5	3,5	1,3	0,2	Bactéria Um
7,3	2,9	6,3	1,8	Bacteria 3
5,4	3,4	1,5	0,4	Bactéria Um
5,7	2,5	5	2	Bactera 3
4,9	3,1	1,5	0,1	Bactéria Um
7,7	3	6,1	2,3	Bactéria 3
6,4	3,2	5,3	2,3	Bactéria 3
5,1	3,8	1,9	0,4	Bactéria Um
5,5	2,5	4	1,3	Bactéria 2
5,9	3,2	4,8	1,8	Bactéria 2
4,5	2,3	1,3	0,3	Bactéria Um
6,4	2,9	4,3	1,3	Bactéria 2
6,2	3,4	5,4	2,3	Batéria 3
4,6	3,1	1,5	0,2	Bactéria Um
6,4	2,8	5,6	2,2	Bactera três
7,7	2,6	6,9	2,3	Bactéria 3
6,6	2,9	4,6	1,3	Bacteria 2
5	3,6	1,4	0,2	Bactéria Um
6,2	2,2	4,5	1,5	Bacteria Dois
6,7	3,1	4,4	1,4	Bactéria 2
6,1	2,8	4	1,3	Bactéria 2
6,7	3,3	5,7	2,5	Bactéria 3
4,3	3	1,1	0,1	Bactéria Um
6,8	3,2	5,9	2,3	Bactéria Tres
5,1	3,8	1,5	0,3	Bactéria Um
5,6	3	4,5	1,5	Bactéria 2
5	3	1,6	0,2	Bacteria 1
6,7	3	5,2	2,3	Bactéria 3
4,9	2,4	3,3	1	Bactéria 2
5,4	3	4,5	1,5	Bactéria 2
4,7	3,2	1,6	0,2	Bactéria Um
4,8	3	1,4	0,1	Bacteria Um
6,5	3	5,8	2,2	Bacteria 3
5,3	3,7	1,5	0,2	Bactéria Um
5,6	3	4,1	1,3	Bactéria 2
5,4	3,7	1,5	0,2	Bacteria Um
7,7	3,8	6,7	2,2	Bactera 3
7,9	3,8	6,4	2	Bactéria 3
5	2	3,5	1	Bacteria Dois
6,6	3	4,4	1,4	Bacteria dois
6,3	3,4	5,6	2,4	Bactéria Três
7,2	3,6	6,1	2,5	Bactéria 3
5	3,5	1,6	0,6	Bactéria 1
4,8	3,4	1,9	0,2	Bacteria 1
6,7	3	5	1,7	Bactéria 2
5,7	3,8	1,7	0,3	Bacteria Um
5,7	2,9	4,2	1,3	Bactera 2
7,6	3	6,6	2,1	Bactéria 3
6,4	2,8	5,6	2,1	Bactéria 3
5	2,3	3,3	1	Bactera 2
5,2	2,7	3,9	1,4	Bacteria 2
5,1	3,4	1,5	0,2	Bactéria Um
6,7	3,3	5,7	2,1	Bactera três
6,1	3	4,9	1,8	Bactera três
5,8	2,8	5,1	2,4	Bactera 3
5,4	3,9	1,7	0,4	Bactéria Um
6,3	2,5	4,9	1,5	Bacteria dois
5,7	4,4	1,5	0,4	Bactéria 1
6,1	2,9	4,7	1,4	Bacteria Dois
4,9	3,1	1,5	0,1	Bactéria Um
6,1	3	4,6	1,4	Bactéria 2
7,4	2,8	6,1	1,9	Bactera três
5	3,2	1,2	0,2	Bactéria 1
6,9	3,1	5,4	2,1	Bactéria Tres
5,8	2,7	5,1	1,9	Bactéria 3
4,9	2,5	4,5	1,7	Bactéria 3
6,3	3,3	4,7	1,6	Bactéria 2
5,8	2,6	4	1,2	Bactéria 2
6,4	3,2	4,5	1,5	Bactéria 2
6,5	2,8	4,6	1,5	Bactéria 2
5,4	3,9	1,3	0,4	Bactéria Um
6	2,2	4	1	Bactéria 2
4,6	3,4	1,4	0,3	Bactéria Um
4,4	3	1,3	0,2	Bactéria Um
5,6	2,9	3,6	1,3	Bacteria Dois
5,1	3,8	1,6	0,2	Bactéria Um
4,6	3,6	1	0,2	Bactéria Um
5	3,5	1,3	0,3	Bactéria Um
7	3,2	4,7	1,4	Bactéria 2
6	3,4	4,5	1,6	Bactéria 2
5,5	2,6	4,4	1,2	Bactera 2
6,5	3,2	5,1	2	Bacteria 3
5,7	3	4,2	1,2	Bactéria 2
6,7	3,1	4,7	1,5	Bactria dois
5,1	3,5	1,4	0,3	Bactéria Um
4,8	3,4	1,6	0,2	Bacteria Um
6,7	2,5	5,8	1,8	Bactéria 3
5,8	4	1,2	0,2	Bactéria Um
6,1	2,6	5,6	1,4	Bactéria 3
6	3	4,8	1,8	Bactéria 3
5,7	2,8	4,1	1,3	Bactéria 2
5,8	2,7	5,1	1,9	Bactéria Tres
7,2	3	5,8	1,6	Bactéria 3
6	2,2	5	1,5	Bactéria 3
5,8	2,7	4,1	1	Bactéria 2
6,1	2,8	4,7	1,2	Bactéria 2
5,7	2,6	3,5	1	Bactéria 2
4,8	3,1	1,6	0,2	Bactéria Um
6,8	3	5,5	2,1	Bactéria 3
6,3	2,7	4,9	1,8	Bactera tres
5,5	4,2	1,4	0,2	Bactéria Um
6,4	3,1	5,5	1,8	Bactéria 3
6,3	3,3	6	2,5	Bactéria 3
5,2	3,4	1,4	0,2	Bactéria Um
5,5	2,3	4	1,3	Bactéria 2
6,3	2,3	4,4	1,3	Bactera 2
4,4	2,9	1,4	0,2	Bactéria Um
6,7	3,1	5,6	2,4	Bactéria 3
6,2	2,9	4,3	1,3	Bactéria 2
5,1	2,5	3	1,1	Bactéria 2
7,1	3	5,9	2,1	Bactéria 3
6,3	2,5	5	1,9	Batéria 3
5,1	3,5	1,4	0,2	Bactéria Um
6	2,9	4,5	1,5	Bactria dois
5,6	2,7	4,2	1,3	Bactéria 2
6,9	3,2	5,7	2,3	Bactera tres
5,4	3,4	1,7	0,2	Bacteria Um
6,5	3	5,5	1,8	Bactéria 3
5,2	4,1	1,5	0,1	Bactéria Um
7,2	3,2	6	1,8	Bactéria 3
5,6	2,8	4,9	2	Bactéria 3
5,5	2,4	3,8	1,1	Bactéria 2
6,3	2,8	5,1	1,5	Bactéria Três
6,8	2,8	4,8	1,4	Bactéria 2
5,1	3,3	1,7	0,5	Bactéria Um
5,9	3	5,1	1,8	Bactéria 3
4,9	3	1,4	0,2	Bactéria Um
6,9	3,1	4,9	1,5	Bactéria 2
4,8	3	1,4	0,3	Bactéria Um
